,node1,node2,trail,distance,color
0,rs_end_north,v_rs,rs,1.98,red
1,v_rs,b_rs,rs,1.84,red
2,b_rs,g_rs,rs,1.68,red
3,g_rs,w_rs,rs,1.79,red
4,w_rs,o_rs,rs,1.84,red
5,o_rs,y_rs,rs,1.69,red
6,y_rs,rs_end_south,rs,2.13,red
7,rc_end_north,v_rc,rc,2.63,red
8,v_rc,b_rc,rc,1.56,red
9,b_rc,g_rc,rc,1.74,red
10,g_rc,o_rc,rc,1.71,red
11,o_rc,w_rc,rc,1.87,red
12,w_rc,y_rc,rc,1.73,red
13,y_rc,rc_end_south,rc,2.08,red
14,rt_end_north,v_rt,rt,1.98,red
15,v_rt,tt_rt,rt,1.76,red
16,tt_rt,b_rt,rt,1.56,red
17,b_rt,g_rt,rt,1.64,red
18,g_rt,o_rt,rt,1.58,red
19,o_rt,w_rt,rt,1.6,red
20,w_rt,y_rt,rt,1.81,red
21,y_rt,rt_end_south,rt,1.79,red
22,rh_end_north,v_rh,rh,1.89,red
23,v_rh,b_rh,rh,1.69,red
24,b_rh,rh_end_tt_1,rh,1.6,red
25,rh_end_tt_2,o_rh,rh,1.61,red
26,o_rh,rh_end_tt_3,rh,1.56,red
27,rh_end_tt_4,y_rh,rh,1.64,red
28,y_rh,rh_end_south,rh,1.6,red
29,rd_end_north,v_rd,rd,1.73,red
30,v_rd,b_rd,rd,1.6,red
31,b_rd,rd_end_south,rd,1.71,red
32,v_end_west,b_v,v,1.71,violet
33,b_v,v_rd,v,1.98,violet
34,v_rd,v_rh,v,2.11,violet
35,v_rh,v_rt,v,2.21,violet
36,v_rt,v_rc,v,2.3,violet
37,v_rc,v_bv,v,1.93,violet
38,v_bv,v_rs,v,2.34,violet
39,v_rs,v_end_east,v,2.37,violet
40,bstub_w,b_v,b,1.66,blue
41,b_end_west,b_v,b,2.01,blue
42,b_v,rd_end_south,b,1.56,blue
43,rd_end_south_dupe,b_rd_dupe,b,1.76,blue
44,rd_end_south,rd_end_south_dupe,hack,1.5,black
45,b_rd,b_rd_dupe,hack,1.5,black
46,b_rd,b_rh,b,2.35,blue
47,b_rh,b_tt_1,b,1.6,blue
48,b_tt_1,b_bw,b,1.79,blue
49,b_bw,b_rt,b,1.73,blue
50,b_rt,b_tt_2,b,1.55,blue
51,b_tt_2,b_tt_3,b,1.74,blue
52,b_tt_3,b_rc,b,2.14,blue
53,b_rc,b_bv,b,2.16,blue
54,b_bv,b_rs,b,2.19,blue
55,b_rs,b_g,b,1.61,blue
