,id,X,Y
0,b_bv,1486,732
1,b_bw,716,1357
2,b_end_east,3164,1111
3,b_end_west,141,1938
4,b_g,1725,771
5,b_gy2,2000,983
6,b_o,2039,1012
7,b_rc,1311,979
8,b_rd,268,1744
9,b_rd_dupe,268,1744
10,b_rh,525,1380
11,b_rs,1747,700
12,b_rt,835,1309
13,b_tt_1,571,1418
14,b_tt_2,857,1287
15,b_tt_2_dupe,857,1287
16,b_tt_3,1006,1206
17,b_tt_3_dupe,1006,1206
18,b_v,285,1937
19,b_w,1691,940
20,b_y,2134,1078
21,bstub_w,372,1845
22,g_gy1,1098,1183
23,g_gy2,1976,906
24,g_rc,1451,1020
25,g_rs,1676,775
26,g_rt,908,1378
27,g_w,700,1582
28,nature_end_west,600,1861
29,o_gy1,1130,1297
30,o_gy2,1994,1059
31,o_rc,1498,1153
32,o_rh,585,1674
33,o_rs,1724,1148
34,o_rt,927,1427
35,o_tt,665,1690
36,o_w_1,850,1490
37,o_w_2,1600,1176
38,o_y_tt_end_west,459,1924
39,park_east,2131,921
40,rc_end_north,867,618
41,rc_end_south,1450,1800
42,rd_end_north,185,1561
43,rd_end_south,273,1869
44,rd_end_south_dupe,273,1869
45,rh_end_north,205,1472
46,rh_end_south,721,1925
47,rh_end_tt_1,558,1430
48,rh_end_tt_2,550,1608
49,rh_end_tt_3,573,1707
50,rh_end_tt_4,695,1767
51,rs_end_north,1772,172
52,rs_end_south,1865,1598
53,rt_end_north,681,850
54,rt_end_south,944,1837
55,tt_rt,833,1273
56,v_bv,1425,691
57,v_end_east,2131,921
58,v_end_west,359,1976
59,v_rc,1288,934
60,v_rd,258,1684
61,v_rh,415,1350
62,v_rs,1793,484
63,v_rt,802,1115
64,w_bw,664,1492
65,w_gy1,1184,1445
66,w_gy2,2000,954
67,w_rc,1491,1352
68,w_rs,1646,947
69,w_rt,926,1490
70,w_tt,550,1522
71,y_gy1,1258,1558
72,y_gy2,1939,1182
73,y_rc,1429,1491
74,y_rh,717,1852
75,y_rs,1805,1246
76,y_rt,977,1666
