Prey-Id,SA Date-Time,Signal Time,Spider-Id,Distance From Spider,Trip No
v_bv,2019-01-01 06:19:00,2019-01-01 06:19:00,1,7.19,1.0
b_tt_1,2019-01-01 06:38:00,2019-01-01 06:38:00,0,3.18,1.0
rd_end_north,2019-01-01 06:42:00,2019-01-01 06:42:00,0,7.48,1.0
y_rt,2019-01-01 06:55:00,2019-01-01 06:55:00,2,5.34,1.0
b_tt_3,2019-01-01 07:01:00,2019-01-01 07:01:00,2,7.72,1.0
v_end_east,2019-01-01 07:02:00,2019-01-01 07:02:00,1,7.58,1.0
o_w_1,2019-01-01 07:29:00,2019-01-01 07:29:00,0,5.24,1.0
b_tt_3,2019-01-01 07:35:00,2019-01-01 07:35:00,2,2.14,1.0
b_bv,2019-01-01 07:46:00,2019-01-01 07:46:00,1,3.97,1.0
rh_end_tt_3,2019-01-01 07:47:00,2019-01-01 07:47:00,0,1.68,1.0
y_rh,2019-01-01 07:48:00,2019-01-01 07:48:00,2,12.76,1.0
v_end_west,2019-01-01 07:58:00,2019-01-01 07:58:00,0,8.79,2.0
nature_end_west,2019-01-01 08:14:00,2019-01-01 08:14:00,0,10.75,1.0
v_end_east,2019-01-01 08:15:00,2019-01-01 08:15:00,1,4.71,1.0
w_bw,2019-01-01 08:16:00,2019-01-01 08:16:00,2,6.88,1.0
v_bv,2019-01-01 08:20:00,2019-01-01 08:20:00,1,2.34,1.0
rh_end_north,2019-01-01 08:23:00,2019-01-01 08:23:00,0,12.03,1.0
b_rt,2019-01-01 08:47:00,2019-01-01 08:47:00,2,3.64,1.0
rc_end_north,2019-01-01 08:48:00,2019-01-01 08:48:00,1,6.9,1.0
rh_end_tt_1,2019-01-01 09:11:00,2019-01-01 09:11:00,0,3.29,1.0
v_end_east,2019-01-01 09:14:00,2019-01-01 09:14:00,1,6.64,1.0
b_y,2019-01-01 09:21:00,2019-01-01 09:21:00,1,9.13,1.0
rc_end_north,2019-01-01 09:23:00,2019-01-01 09:23:00,2,9.89,1.0
rh_end_tt_2,2019-01-01 09:40:00,2019-01-01 09:40:00,0,4.83,1.0
w_rc,2019-01-01 09:58:00,2019-01-01 09:58:00,2,6.88,1.0
rh_end_tt_2,2019-01-01 10:06:00,2019-01-01 10:06:00,0,1.6,1.0
y_rs,2019-01-01 10:08:00,2019-01-01 10:08:00,2,5.11,1.0
